UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,temp_diff,torque_speed_interaction,Temperature Difference,Status
1,M14860,M,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0,No Failure,0.005029555665580054,0.01924182996882268,0.005029555665580054,Safe
2,L47181,L,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0,No Failure,0.022434407643487475,-0.46198015451512553,0.022434407643487475,Safe
3,L47182,L,-0.9523894433829583,-1.0147607733229451,-0.22744984015544953,0.9442896250860024,-1.6174303384163455,0,No Failure,-0.06237132993998684,-0.21477852428626062,-0.06237132993998684,Safe
4,L47183,L,-0.9023934097553371,-0.9473598877173782,-0.5900210426516227,-0.04884517850680491,-1.5860089760514078,0,No Failure,-0.04496647796204112,0.02881968315108966,-0.04496647796204112,Safe
5,L47184,L,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.0013131449069732513,-1.5545876136864702,0,No Failure,0.022434407643487475,-0.0009579017917700324,0.022434407643487475,Safe
6,M14865,M,-0.9523894433829583,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0,No Failure,0.005029555665580054,-0.1217977882574201,0.005029555665580054,Safe
7,L47186,L,-0.9523894433829583,-0.9473598877173782,0.10723126984101795,0.24207309729310825,-1.4760342077741262,0,No Failure,0.005029555665580054,0.025957805617088284,0.005029555665580054,Safe
8,L47187,L,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0,No Failure,0.005029555665580054,-0.0014041629566561113,0.005029555665580054,Safe
9,M14868,M,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271685,-1.4131914830442511,0,No Failure,-0.02756162598416212,-0.8170108564697723,-0.02756162598416212,Safe
10,M14869,M,-0.7524053088724167,-0.677756345295187,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,No Failure,0.07464896357722972,-1.3564153119215205,0.07464896357722972,Warning
11,H29424,H,-0.8024013425000663,-0.7451572309007539,1.3567074138278299,-1.6137848690166836,-1.3189273959494383,0,No Failure,0.05724411159931242,-2.189433896118108,0.05724411159931242,Warning
12,H29425,H,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370943,0,No Failure,0.09205381555514713,-0.2794218693958124,0.09205381555514713,Safe
13,M14872,M,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0,No Failure,0.09205381555514713,-1.2423138285940611,0.09205381555514713,Warning
14,M14873,M,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0,No Failure,0.15945470116067584,-1.1356875765031165,0.15945470116067584,Warning
15,L47194,L,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751753,-1.0675564970299374,0,No Failure,0.15945470116067584,-5.660855129613928,0.15945470116067584,Warning
16,L47195,L,-0.7024092752447672,-0.5429545740840913,0.017982973841959956,0.8439729782584461,-1.0361351346649998,0,No Failure,0.15945470116067584,0.015177143991342675,0.15945470116067584,Safe
17,M14876,M,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0,No Failure,0.15945470116067584,-0.8428796007499869,0.15945470116067584,Safe
18,M14877,M,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0,No Failure,0.10945866753305467,-0.4044736474221288,0.10945866753305467,Safe
19,H29432,H,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0,No Failure,0.05946263390540507,-1.8903892259958799,0.05946263390540507,Warning
20,M14879,M,-0.5524211743618752,-0.47555368847852436,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,0,No Failure,0.07686748588335085,-0.3905555713284215,0.07686748588335085,Safe
21,H29434,H,-0.5524211743618752,-0.47555368847852436,-0.9135461156482079,0.2721680913413756,-0.784764235745499,0,No Failure,0.07686748588335085,-0.2486381026483003,0.07686748588335085,Safe
22,L47201,L,-0.6024172079894964,-0.47555368847852436,-0.49519472815262355,0.4828330496792433,-0.706210829833155,0,No Failure,0.12686351951097202,-0.23909638077901507,0.12686351951097202,Safe
23,M14882,M,-0.5524211743618752,-0.47555368847852436,0.23552569533966383,-0.9316316705893005,-0.6747894674682174,0,No Failure,0.07686748588335085,-0.21942319701599763,0.07686748588335085,Safe
24,L47203,L,-0.5024251407342256,-0.4081528028729957,1.222834969829243,-1.4332149047270821,-0.627657423920811,0,No Failure,0.0942723378612299,-1.7525853047807627,0.0942723378612299,Warning
25,M14884,M,-0.5024251407342256,-0.4081528028729957,0.12396532534084133,-0.26954180152742907,-0.5962360615558734,0,No Failure,0.0942723378612299,-0.03341383711930423,0.0942723378612299,Safe
26,L47205,L,-0.5024251407342256,-0.3407519172674287,1.7973708753231787,-1.6739748571132171,-0.549104018008467,0,No Failure,0.1616732234667969,-3.008753654198576,0.1616732234667969,Warning
27,L47206,L,-0.452429107106576,-0.3407519172674287,-0.1493575811562738,-0.09900350192058306,-0.5176826556435293,0,No Failure,0.11167718983914732,0.014786923572858792,0.11167718983914732,Safe
28,H29441,H,-0.452429107106576,-0.4081528028729957,1.5184699503261225,-1.5435632162373938,-0.48626129327859174,0,No Failure,0.04427630423358031,-2.343854360285225,0.04427630423358031,Warning
29,L47208,L,-0.452429107106576,-0.4081528028729957,-0.556552931651976,0.42264306158271003,-0.40770788736624775,0,No Failure,0.04427630423358031,-0.23522323496622388,0.04427630423358031,Safe
30,L47209,L,-0.5024251407342256,-0.4081528028729957,0.8602637673330699,-0.991821658685834,-0.37628652500131016,0,No Failure,0.0942723378612299,-0.8532282366236098,0.0942723378612299,Safe
31,M14890,M,-0.452429107106576,-0.3407519172674287,-1.1143547816460884,0.8239096488929353,-0.34486516263637257,0,No Failure,0.11167718983914732,-0.9181276568881922,0.11167718983914732,Safe
32,L47211,L,-0.5024251407342256,-0.4081528028729957,1.445955709826888,-1.4532782340925934,-0.29773311908896616,0,No Failure,0.0942723378612299,-2.101375960553322,0.0942723378612299,Warning
33,L47212,L,-0.5024251407342256,-0.4081528028729957,-0.6681133016507984,0.8339413135756903,-0.26631175672402857,0,No Failure,0.0942723378612299,-0.5571672843960582,0.0942723378612299,Safe
34,L47213,L,-0.5524211743618752,-0.47555368847852436,0.7040792493347183,-0.7510617062996991,-0.23489039435909095,0,No Failure,0.07686748588335085,-0.5288069623755448,0.07686748588335085,Safe
35,M14894,M,-0.6024172079894964,-0.61035545968962,0.11280928834095907,-0.530365083279075,-0.20346903199415334,0,No Failure,-0.007938251700123633,-0.05983010760560594,-0.007938251700123633,Safe
36,M14895,M,-0.6024172079894964,-0.5429545740840913,-0.4840386911527413,0.8640363076239577,-0.15633698844674693,0,No Failure,0.05946263390540507,-0.4182270034507478,0.05946263390540507,Safe
37,M14896,M,-0.5524211743618752,-0.5429545740840913,0.23552569533966383,-0.32973178962396227,-0.10920494489934053,0,No Failure,0.009466600277783899,-0.07766030902677547,0.009466600277783899,Safe
38,L47217,L,-0.6024172079894964,-0.61035545968962,-0.556552931651976,-0.07894017255507152,-0.062072901351934134,0,No Failure,-0.007938251700123633,0.04393438446063791,-0.007938251700123633,Safe
39,H29452,H,-0.5524211743618752,-0.5429545740840913,-0.8912340416484434,1.074701265961826,-0.03065153898699653,0,No Failure,0.009466600277783899,-0.957810352827857,0.009466600277783899,Warning
40,L47219,L,-0.6024172079894964,-0.61035545968962,-1.052996578146736,1.255271230251427,0.04790186692534748,0,No Failure,-0.007938251700123633,-1.3217963101007963,-0.007938251700123633,Warning
41,L47220,L,-0.6024172079894964,-0.61035545968962,-0.9860603561474425,0.5430230377757772,0.07932322929028508,0,No Failure,-0.007938251700123633,-0.535453490025449,-0.007938251700123633,Safe
42,L47221,L,-0.6024172079894964,-0.61035545968962,-0.9525922451477957,1.0847329306445812,0.11074459165522269,0,No Failure,-0.007938251700123633,-1.0333081777884698,-0.007938251700123633,Warning
43,M14902,M,-0.6024172079894964,-0.61035545968962,-0.9525922451477957,0.9141946310377358,0.1421659540201603,0,No Failure,-0.007938251700123633,-0.8708547160822975,-0.007938251700123633,Safe
